Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,18,-90.2,22.33"
Data Bounding Box:,"-93.5,18.5,-90.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,18,-90.2,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2002-08-31,47.9065247
2002-09-01,53.6999207
2002-09-02,52.2437973
2002-09-03,-9999
2002-09-04,50.9381523
2002-09-05,53.0713882
2002-09-06,53.3428879
2002-09-07,49.349968
2002-09-08,48.8292236
2002-09-09,49.8014946
2002-09-10,50.0937386
2002-09-11,53.2821999
2002-09-12,-9999
2002-09-13,52.4265976
2002-09-14,44.1660767
2002-09-15,51.7683067
2002-09-16,41.3608742
2002-09-17,53.2076111
2002-09-18,47.9051704
2002-09-19,-9999
2002-09-20,44.7517662
2002-09-21,44.050251
2002-09-22,49.1030312
2002-09-23,47.3807182
2002-09-24,55.7707062
2002-09-25,41.7113724
2002-09-26,52.2229004
2002-09-27,44.5971642
2002-09-28,-9999
2002-09-29,49.3150482
2002-09-30,50.4509468
2002-10-01,45.1125832
2002-10-02,43.3146667
2002-10-03,51.5794411
2002-10-04,44.3845177
2002-10-05,-9999
2002-10-06,50.1987801
2002-10-07,54.2834091
2002-10-08,51.4403915
2002-10-09,40.4518585
2002-10-10,39.4462395
2002-10-11,43.8877907
2002-10-12,39.7783623
2002-10-13,42.222702
2002-10-14,-9999
2002-10-15,41.4234772
2002-10-16,40.3986778
2002-10-17,35.5909195
2002-10-18,23.6815891
2002-10-19,-9999
2002-10-22,40.854908
2002-10-23,43.3173218
2002-10-24,39.6052933
2002-10-25,34.8230972
2002-10-26,31.0208321
2002-10-27,45.5300713
2002-10-28,53.7325211
2002-10-29,46.2143669
2002-10-30,-9999
2002-10-31,48.5066872
2002-11-01,50.7871132
2002-11-02,32.668293
2002-11-03,30.8249111
2002-11-04,33.8652954
2002-11-05,38.2365875
2002-11-06,-9999
2002-11-07,36.9491653
2002-11-08,38.3874626
2002-11-09,39.6006889
2002-11-10,35.0378494
2002-11-11,33.9024162
2002-11-12,40.0459824
2002-11-13,31.6351433
2002-11-14,40.3843117
2002-11-15,-9999
2002-11-16,41.0553513
2002-11-17,17.2479897
2002-11-18,17.823576
2002-11-19,25.5524311
