Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily 1 (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-93.6,22.33,-90.2,26.67"
Data Bounding Box:,"-93.5,22.5,-90.5,26.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-93.6,22.33,-90.2,26.67&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2002-08-31,45.6014824
2002-09-01,51.0635185
2002-09-02,52.8208466
2002-09-03,56.3272629
2002-09-04,48.5327606
2002-09-05,51.0625
2002-09-06,49.4961166
2002-09-07,51.2866859
2002-09-08,51.7252312
2002-09-09,49.0860977
2002-09-10,51.9238663
2002-09-11,51.375103
2002-09-12,-9999
2002-09-13,44.8815575
2002-09-14,48.112236
2002-09-15,53.5438004
2002-09-16,44.1965981
2002-09-17,50.7752686
2002-09-18,47.8120613
2002-09-19,46.1470299
2002-09-20,45.327713
2002-09-21,46.34375
2002-09-22,47.4992371
2002-09-23,50.9085274
2002-09-24,57.3926811
2002-09-25,50.9697113
2002-09-26,32.4320679
2002-09-27,32.2267075
2002-09-28,-9999
2002-09-29,48.5520668
2002-09-30,47.1027527
2002-10-01,43.7357559
2002-10-02,52.5974808
2002-10-03,46.8154907
2002-10-04,48.9641342
2002-10-05,43.0472679
2002-10-06,39.5494003
2002-10-07,-9999
2002-10-08,48.3438606
2002-10-09,48.2311478
2002-10-10,47.1841316
2002-10-11,46.9711266
2002-10-12,43.4333
2002-10-13,38.0415726
2002-10-14,-9999
2002-10-15,36.7886353
2002-10-16,20.26717
2002-10-17,22.0105095
2002-10-18,26.396946
2002-10-19,-9999
2002-10-22,45.330162
2002-10-23,-9999
2002-10-24,40.4086151
2002-10-25,39.5890388
2002-10-26,37.3568611
2002-10-27,36.1062355
2002-10-28,41.9715958
2002-10-29,48.1589508
2002-10-30,-9999
2002-10-31,39.8430595
2002-11-01,43.8061256
2002-11-02,40.8323746
2002-11-03,35.0191345
2002-11-04,31.9291058
2002-11-05,36.7647057
2002-11-06,25.3973351
2002-11-07,23.7394295
2002-11-08,43.21875
2002-11-09,41.0814438
2002-11-10,34.8940315
2002-11-11,35.7011223
2002-11-12,36.304287
2002-11-13,12.0159988
2002-11-14,25.4238338
2002-11-15,-9999
2002-11-16,24.277113
2002-11-17,11.3649979
2002-11-18,15.795948
2002-11-19,20.7494221
