Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-97,18,-93.6,22.33"
Data Bounding Box:,"-96.5,18.5,-94.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-97,18,-93.6,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2002-08-31,48.9380951
2002-09-01,-9999
2002-09-02,47.3598595
2002-09-03,44.4343529
2002-09-04,51.6848221
2002-09-05,48.3739433
2002-09-06,52.6168861
2002-09-07,48.9853783
2002-09-08,47.6855125
2002-09-09,49.9664192
2002-09-10,-9999
2002-09-11,52.703228
2002-09-12,-9999
2002-09-13,52.8021355
2002-09-14,49.1365738
2002-09-15,52.7567787
2002-09-16,41.9602356
2002-09-17,-9999
2002-09-18,47.6018486
2002-09-19,37.7399025
2002-09-20,44.2549629
2002-09-21,43.0001488
2002-09-22,45.5379868
2002-09-23,45.2543869
2002-09-24,60.2181206
2002-09-25,41.9608192
2002-09-26,-9999
2002-09-27,43.1997147
2002-09-28,43.0961227
2002-09-29,44.2812462
2002-09-30,48.7900085
2002-10-01,49.0624084
2002-10-02,44.1229668
2002-10-03,-9999
2002-10-04,50.0479851
2002-10-05,32.102066
2002-10-06,48.5285149
2002-10-07,50.1143951
2002-10-08,51.6301651
2002-10-09,50.6168633
2002-10-10,44.5189209
2002-10-11,42.8655663
2002-10-12,-9999
2002-10-13,43.631012
2002-10-14,42.1314316
2002-10-15,42.1841698
2002-10-16,40.5982742
2002-10-17,47.3945312
2002-10-18,35.6875
2002-10-19,-9999
2002-10-22,48.4054604
2002-10-23,44.8827477
2002-10-24,43.3957596
2002-10-25,36.9372482
2002-10-26,33.4953957
2002-10-27,39.9957008
2002-10-28,-9999
2002-10-29,49.2861099
2002-10-30,49.0578232
2002-10-31,47.7234802
2002-11-01,42.8639755
2002-11-02,38.0669441
2002-11-03,41.9584961
2002-11-04,-9999
2002-11-05,41.21278
2002-11-06,35.90625
2002-11-07,40.8448944
2002-11-08,40.3454933
2002-11-09,36.495285
2002-11-10,31.7830143
2002-11-11,38.65625
2002-11-12,38.2058029
2002-11-13,-9999
2002-11-14,38.9305038
2002-11-15,38.1217995
2002-11-16,34.7870369
2002-11-17,16.4870052
2002-11-18,19.574646
2002-11-19,25.1861744
2002-11-20,-9999
